Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
400,0,"20.3781","20.331","488.113"
401,0,"20.3129","20.3377","488.764"
402,0,"20.2361","20.3409","489.415"
403,0,"20.1647","20.3423","490.064"
404,0,"20.0741","20.3401","490.701"
405,0,"20.0124","20.3629","491.321"
406,0,"19.9802","20.3744","491.933"
407,0,"19.9214","20.4016","492.552"
408,0,"19.9062","20.4175","493.165"
409,0,"19.8391","20.4598","493.8"
410,0,"19.8467","20.4752","494.449"
411,0,"19.8062","20.4914","495.108"
412,0,"19.7657","20.4781","495.771"
413,0,"19.7779","20.4765","496.422"
414,0,"19.7314","20.457","497.064"
415,0,"19.7391","20.4585","497.674"
416,0,"19.7045","20.4719","498.299"
417,0,"19.7579","20.4725","498.899"
418,0,"19.7794","20.4933","499.487"
419,0,"19.7645","20.497","500.07"
420,0,"19.7874","20.4801","500.644"
421,0,"19.7376","20.4725","501.276"
422,0,"19.7509","20.4281","501.923"
423,0,"19.7358","20.3939","502.583"
424,0,"19.7629","20.394","503.219"
425,0,"19.7798","20.3413","503.841"
426,0,"19.7888","20.3302","504.409"
427,0,"19.8212","20.2776","504.914"
428,0,"19.8403","20.2392","505.444"
429,0,"19.8844","20.2093","505.949"
430,0,"19.9101","20.1802","506.497"
431,0,"19.9511","20.1787","507.149"
432,0,"19.9698","20.149","507.744"
433,0,"19.9885","20.1472","508.354"
434,0,"20.0145","20.0916","508.895"
435,0,"20.0602","20.069","509.434"
436,0,"20.0961","20.0029","509.967"
437,0,"20.1151","19.9606","510.454"
438,0,"20.1605","19.9336","510.913"
439,0,"20.2018","19.8661","511.379"
440,0,"20.2213","19.8148","511.866"
441,0,"20.2444","19.7423","512.312"
442,0,"20.3154","19.7299","512.829"
443,0,"20.3346","19.6449","513.338"
444,0,"20.375","19.6244","513.833"
445,0,"20.4156","19.5737","514.307"
446,0,"20.4638","19.5034","514.721"
447,0,"20.5116","19.4864","515.124"
448,0,"20.5701","19.4142","515.504"
449,0,"20.6135","19.3856","515.91"
450,0,"20.6463","19.3298","516.293"
451,0,"20.6919","19.2765","516.704"
452,0,"20.7255","19.2589","517.074"
453,0,"20.7559","19.177","517.429"
454,0,"20.7781","19.1519","517.816"
455,0,"20.7989","19.07","518.14"
456,0,"20.8356","19.0933","518.518"
457,0,"20.8544","19.0483","518.876"
458,0,"20.8838","19.0266","519.262"
459,0,"20.8924","19.0153","519.619"
460,0,"20.9079","18.9346","519.897"
461,0,"20.8984","18.955","520.221"
462,0,"20.9322","18.8907","520.51"
463,0,"20.953","18.8914","520.845"
464,0,"20.9437","18.8306","521.132"
465,0,"20.966","18.8018","521.43"
466,0,"20.923","18.7941","521.748"
467,0,"20.8994","18.7348","522.052"
468,0,"20.8855","18.7701","522.433"
469,0,"20.8951","18.7901","522.77"
470,0,"20.8859","18.8085","523.123"
471,0,"20.8866","18.8524","523.447"
472,0,"20.8802","18.8429","523.742"
473,0,"20.8575","18.819","523.994"
474,0,"20.8472","18.8007","524.266"
475,0,"20.7998","18.7956","524.593"
476,0,"20.7403","18.7743","524.935"
477,0,"20.7345","18.8091","525.31"
478,0,"20.7022","18.8076","525.651"
479,0,"20.6756","18.8592","526.008"
480,0,"20.6396","18.8774","526.33"
481,0,"20.6483","18.8988","526.616"
482,0,"20.6333","18.9436","526.924"
483,0,"20.6316","18.938","527.242"
484,0,"20.6284","18.9887","527.581"
485,0,"20.5824","18.9961","527.916"
486,0,"20.5641","18.9962","528.296"
487,0,"20.5297","19.0278","528.637"
488,0,"20.5278","19.0607","529"
489,0,"20.513","19.1125","529.348"
490,0,"20.5067","19.1314","529.63"
491,0,"20.5054","19.1956","529.963"
492,0,"20.4889","19.1974","530.223"
493,0,"20.5071","19.2493","530.534"
494,0,"20.4849","19.3019","530.828"
495,0,"20.4641","19.2921","531.104"
496,0,"20.4423","19.3484","531.393"
497,0,"20.4053","19.35","531.639"
498,0,"20.3695","19.4143","531.931"
499,0,"20.3735","19.4592","532.154"
500,0,"20.3528","19.519","532.399"
501,0,"20.3314","19.5808","532.618"
502,0,"20.3102","19.6391","532.875"
503,0,"20.3103","19.7094","533.118"
504,0,"20.286","19.7497","533.359"
505,0,"20.2584","19.8017","533.593"
506,0,"20.2388","19.8753","533.805"
507,0,"20.2121","19.9595","534"
508,0,"20.2072","20.0178","534.211"
509,0,"20.1679","20.1013","534.457"
510,0,"20.168","20.1818","534.66"
511,0,"20.1518","20.2542","534.875"
512,0,"20.1524","20.331","535.042"
513,0,"20.1229","20.4057","535.2"
514,0,"20.116","20.4774","535.364"
515,0,"20.0764","20.5408","535.509"
516,0,"20.0745","20.6165","535.632"
517,0,"20.0581","20.7281","535.812"
518,0,"20.0467","20.8145","535.942"
519,0,"20.0506","20.9322","536.102"
520,0,"20.0199","21.0296","536.257"
521,0,"20.0097","21.1306","536.397"
522,0,"20.0104","21.26","536.589"
523,0,"19.9827","21.3213","536.722"
524,0,"19.987","21.4443","536.843"
525,0,"19.9542","21.5086","536.917"
526,0,"19.9458","21.604","536.994"
527,0,"19.9557","21.6912","537.086"
528,0,"19.9444","21.8218","537.221"
529,0,"19.9562","21.9261","537.345"
530,0,"19.9231","22.0703","537.516"
531,0,"19.9328","22.1844","537.643"
532,0,"19.9089","22.2896","537.779"
533,0,"19.9233","22.4114","537.885"
534,0,"19.9196","22.5135","537.991"
535,0,"19.8653","22.5885","538.103"
536,0,"19.8666","22.7222","538.195"
537,0,"19.8749","22.84","538.288"
538,0,"19.8725","22.9283","538.398"
539,0,"19.8532","23.0681","538.526"
540,0,"19.8599","23.131","538.615"
541,0,"19.8577","23.2779","538.769"
542,0,"19.8472","23.3808","538.933"
543,0,"19.8562","23.5183","539.071"
544,0,"19.883","23.6455","539.197"
545,0,"19.8548","23.7592","539.316"
546,0,"19.8959","23.8624","539.413"
547,0,"19.8933","23.9824","539.51"
548,0,"19.9131","24.0742","539.58"
549,0,"19.9512","24.1663","539.707"
550,0,"19.9511","24.2694","539.841"
551,0,"19.9761","24.3179","539.951"
552,0,"19.9932","24.4283","540.081"
553,0,"19.9966","24.5153","540.214"
554,0,"19.9998","24.6383","540.373"
555,0,"19.9689","24.6907","540.495"
556,0,"19.9987","24.8226","540.644"
557,0,"20.0247","24.9015","540.738"
558,0,"20.0647","25.0018","540.857"
559,0,"20.0927","25.0455","540.95"
560,0,"20.0612","25.0882","541.057"
561,0,"20.0927","25.1367","541.154"
562,0,"20.0743","25.2008","541.303"
563,0,"20.0853","25.2465","541.409"
564,0,"20.107","25.3606","541.521"
565,0,"20.112","25.4248","541.611"
566,0,"20.1118","25.476","541.706"
567,0,"20.1349","25.5373","541.801"
568,0,"20.1415","25.5706","541.893"
569,0,"20.155","25.6054","541.965"
570,0,"20.1599","25.643","542.093"
571,0,"20.1948","25.6816","542.185"
572,0,"20.19","25.7005","542.274"
573,0,"20.1988","25.7705","542.406"
574,0,"20.2288","25.8296","542.494"
575,0,"20.2295","25.9061","542.579"
576,0,"20.2507","25.9721","542.664"
577,0,"20.2696","26.0521","542.782"
578,0,"20.3071","26.0711","542.851"
579,0,"20.3387","26.1334","542.98"
580,0,"20.3707","26.1661","543.071"
581,0,"20.3778","26.196","543.154"
582,0,"20.4336","26.2708","543.246"
583,0,"20.4083","26.3263","543.341"
584,0,"20.4379","26.3385","543.379"
585,0,"20.4368","26.3924","543.478"
586,0,"20.4366","26.4139","543.523"
587,0,"20.4445","26.4362","543.606"
588,0,"20.5043","26.4825","543.691"
589,0,"20.4816","26.5022","543.824"
590,0,"20.5279","26.5211","543.922"
591,0,"20.5461","26.5612","544.022"
592,0,"20.5497","26.5711","544.089"
593,0,"20.5701","26.5881","544.162"
594,0,"20.5606","26.6076","544.227"
595,0,"20.5811","26.6539","544.35"
596,0,"20.5824","26.6261","544.452"
597,0,"20.5689","26.5984","544.601"
598,0,"20.6299","26.6098","544.718"
599,0,"20.6274","26.5994","544.837"
600,0,"20.6095","26.5368","544.893"
601,0,"20.654","26.5608","544.969"
602,0,"20.6605","26.5459","545.024"
603,0,"20.6472","26.5351","545.123"
604,0,"20.6841","26.5503","545.239"
605,0,"20.6564","26.5707","545.378"
606,0,"20.6784","26.5769","545.525"
607,0,"20.7048","26.5964","545.68"
608,0,"20.7098","26.5584","545.787"
609,0,"20.6961","26.5137","545.87"
610,0,"20.7273","26.4751","545.951"
611,0,"20.7217","26.4552","546.03"
612,0,"20.7374","26.4401","546.079"
613,0,"20.7284","26.4138","546.186"
614,0,"20.7378","26.4173","546.329"
615,0,"20.7634","26.4323","546.482"
616,0,"20.7614","26.4036","546.629"
617,0,"20.7491","26.4071","546.793"
618,0,"20.7812","26.3999","546.916"
619,0,"20.7815","26.3726","547.048"
620,0,"20.8276","26.3832","547.143"
621,0,"20.8217","26.39","547.255"
622,0,"20.8156","26.3367","547.346"
623,0,"20.8211","26.3426","547.472"
624,0,"20.8381","26.337","547.554"
625,0,"20.8307","26.2886","547.651"
626,0,"20.8518","26.2976","547.763"
627,0,"20.8366","26.3084","547.925"
628,0,"20.8596","26.2908","548.04"
629,0,"20.8831","26.313","548.189"
630,0,"20.9331","26.3191","548.332"
631,0,"20.9343","26.34","548.443"
632,0,"20.9474","26.3048","548.512"
633,0,"20.9466","26.3045","548.622"
634,0,"20.9907","26.3019","548.69"
635,0,"20.9861","26.2902","548.801"
636,0,"21.0351","26.2966","548.894"
637,0,"21.0241","26.2962","549.007"
638,0,"21.0106","26.2369","549.085"
639,0,"21.0424","26.2629","549.202"
640,0,"21.0516","26.2477","549.286"
641,0,"21.0466","26.2189","549.359"
642,0,"21.0896","26.2322","549.413"
643,0,"21.0829","26.2455","549.466"
644,0,"21.1005","26.1996","549.491"
645,0,"21.1345","26.2208","549.548"
646,0,"21.1425","26.2291","549.61"
647,0,"21.1518","26.2189","549.666"
648,0,"21.1682","26.2259","549.731"
649,0,"21.1498","26.1889","549.777"
650,0,"21.1514","26.1669","549.811"
651,0,"21.1629","26.1608","549.871"
652,0,"21.1532","26.159","549.914"
653,0,"21.1918","26.1664","549.926"
654,0,"21.1873","26.1465","549.934"
655,0,"21.1861","26.1262","549.935"
656,0,"21.1762","26.1004","549.939"
657,0,"21.1459","26.059","549.904"
658,0,"21.1258","26.0664","549.963"
659,0,"21.1169","26.0409","550.019"
660,0,"21.0853","26.0297","550.055"
661,0,"21.1062","26.052","550.109"
662,0,"21.0784","26.0738","550.149"
663,0,"21.0647","26.0415","550.115"
664,0,"21.0682","26.0575","550.118"
665,0,"21.0497","26.0187","550.06"
666,0,"21.013","25.9799","550.045"
667,0,"20.9969","25.9717","550.017"
668,0,"20.9678","25.9936","550.052"
669,0,"20.9269","25.9292","550.058"
670,0,"20.911","25.9414","550.072"
671,0,"20.8934","25.9359","550.059"
672,0,"20.8473","25.9124","550.032"
673,0,"20.8472","25.9301","549.999"
674,0,"20.7723","25.894","549.99"
675,0,"20.7373","25.866","549.983"
676,0,"20.7046","25.8317","549.956"
677,0,"20.7011","25.8257","549.944"
678,0,"20.6559","25.7758","549.924"
679,0,"20.6073","25.7717","549.923"
680,0,"20.5745","25.7461","549.917"
681,0,"20.5345","25.7678","549.922"
682,0,"20.4936","25.7332","549.871"
683,0,"20.452","25.7123","549.86"
684,0,"20.4484","25.7135","549.846"
685,0,"20.3891","25.7184","549.85"
686,0,"20.3445","25.6656","549.853"
687,0,"20.3076","25.6727","549.877"
688,0,"20.2559","25.677","549.912"
